SOUID,    DATE,   RR, Q_RR
100814,20050614,    0,    0
100814,20050615,    6,    0
100814,20050616,    0,    0
100814,20050617,    0,    0
100814,20050618,    0,    0
100814,20050619,    0,    0
100814,20050620,    0,    0
100814,20050621,    0,    0
100814,20050622,    0,    0
100814,20050623,    0,    0
100814,20050624,    0,    0
100814,20050625,    0,    0
100814,20050626,    0,    0
100814,20050627,   22,    0
100814,20050628,    0,    0
100814,20050629,    0,    0
100814,20050630,  194,    0
100814,20050701,    4,    0
100814,20050702,   60,    0
100814,20050703,   62,    0
100814,20050704,    0,    0
100814,20050705,   17,    0
100814,20050706,   11,    0
100814,20050707,    0,    0
100814,20050708,    9,    0
100814,20050709,    5,    0
100814,20050710,    8,    0
100814,20050711,   10,    0
100814,20050712,    2,    0
100814,20050713,   13,    0
100814,20050714,   24,    0
100814,20050715,    0,    0
100814,20050716,    0,    0
100814,20050717,    2,    0
100814,20050718,    0,    0
100814,20050719,    0,    0
100814,20050720,    0,    0
100814,20050721,    0,    0
100814,20050722,    7,    0
100814,20050723,   20,    0
100814,20050724,    0,    0
100814,20050725,    0,    0
100814,20050726,    0,    0
100814,20050727,    0,    0
100814,20050728,    0,    0
100814,20050729,    0,    0
100814,20050730,    0,    0
100814,20050731,    0,    0
100814,20050801,    0,    0
100814,20050802,    0,    0
100814,20050803,  109,    0
100814,20050804,  111,    0
100814,20050805,  103,    0
100814,20050806,    0,    0
100814,20050807,   75,    0
100814,20050808,   14,    0
100814,20050809,    0,    0
100814,20050810,    0,    0
100814,20050811,    0,    0
100814,20050812,    0,    0
100814,20050813,   12,    0
100814,20050814,    0,    0
100814,20050815,   48,    0
100814,20050816,   11,    0
100814,20050817,  107,    0
100814,20050818,  143,    0
100814,20050819,    1,    0
100814,20050820,    0,    0
100814,20050821,    0,    0
100814,20050822,  108,    0
100814,20050823,    8,    0
100814,20050824,    0,    0
100814,20050825,    0,    0
100814,20050826,    0,    0
100814,20050827,    0,    0
100814,20050828,    0,    0
100814,20050829,    0,    0
100814,20050830,    0,    0
100814,20050831,    0,    0
100814,20050901,    0,    0
100814,20050902,   38,    0
100814,20050903,    0,    0
100814,20050904,    0,    0
100814,20050905,    1,    0
100814,20050906,    0,    0
100814,20050907,    0,    0
100814,20050908,    0,    0
100814,20050909,    0,    0
100814,20050910,   11,    0
100814,20050911,    0,    0
100814,20050912,    0,    0
100814,20050913,    0,    0
100814,20050914,   14,    0
100814,20050915,   37,    0
100814,20050916,    0,    0
100814,20050917,    0,    0
100814,20050918,    0,    0
100814,20050919,   49,    0
100814,20050920,    0,    0
100814,20050921,    1,    0
100814,20050922,    0,    0
100814,20050923,   16,    0
100814,20050924,    9,    0
100814,20050925,    0,    0
100814,20050926,    0,    0
100814,20050927,    0,    0
100814,20050928,   35,    0
100814,20050929,    0,    0
100814,20050930,  194,    0
100814,20051001,  104,    0
100814,20051002,   19,    0
100814,20051003,    0,    0
100814,20051004,    0,    0
100814,20051005,    0,    0
100814,20051006,    0,    0
100814,20051007,    0,    0
100814,20051008,    0,    0
100814,20051009,    0,    0
100814,20051010,    0,    0
100814,20051011,    0,    0
100814,20051012,   16,    0
100814,20051013,   17,    0
100814,20051014,    0,    0
100814,20051015,    0,    0
100814,20051016,    1,    0
100814,20051017,    0,    0
100814,20051018,    0,    0
100814,20051019,    0,    0
100814,20051020,    0,    0
100814,20051021,    4,    0
100814,20051022,   28,    0
100814,20051023,    0,    0
100814,20051024,    0,    0
100814,20051025,    0,    0
100814,20051026,    0,    0
100814,20051027,    0,    0
100814,20051028,    0,    0
100814,20051029,    0,    0
100814,20051030,    0,    0
100814,20051031,    0,    0
100814,20051101,    0,    0
100814,20051102,    0,    0
100814,20051103,    0,    0
100814,20051104,    0,    0
100814,20051105,    0,    0
